Affiliation with Department	Record Count	% of 1,862
University Of Pisa Department Of Economics And Management	1	0.054
University Of Pittsburgh Department Of Industrial Engineering	1	0.054
University Of Pittsburgh Swanson School Of Engineering	1	0.054
University Of Potsdam Department Of Psychology	1	0.054
University Of Potsdam Faculty Of Human Sciences	1	0.054
University Of Potsdam Faculty Of Science	1	0.054
University Of Potsdam Institute Of Physics And Astronomy	1	0.054
University Of Prince Edward Island Department Of Biology	1	0.054
University Of Prince Edward Island Department Of Environmental Studies	1	0.054
University Of Prince Edward Island Faculty Of Science	1	0.054
University Of Reading Department Of Mathematics And Statistics	1	0.054
University Of Reading Henley Business School	1	0.054
University Of Reading School Of Mathematical Physical And Computational Sciences	1	0.054
University Of Reading School Of Psychology And Clinical Language Sciences	1	0.054
University Of Regina Department Of Psychology	1	0.054
University Of Regina Faculty Of Arts	1	0.054
University Of Rijeka Faculty Of Civil Engineering	1	0.054
University Of Rochester Department Of Computer Science	1	0.054
University Of Rochester Department Of Physics And Astronomy	1	0.054
University Of Rochester Hajim School Of Engineering And Applied Sciences	1	0.054
University Of Rochester School Of Arts And Sciences	1	0.054
University Of Roehampton School Of Life And Health Sciences	1	0.054
University Of Rome La Sapienza Department Of Management	1	0.054
University Of Rovira I Virgili Higher Technical School Of Chemical Engineering	1	0.054
University Of Salerno Department Of Economics And Statistics	1	0.054
University Of Science And Technology Of China Department Of Statistics And Finance	1	0.054
University Of Science And Technology Of China School Of Life Sciences	1	0.054
University Of Science And Technology Of China School Of Management	1	0.054
University Of Siena Department Of Biotechnology Chemistry And Pharmacy	1	0.054
University Of South Australia Allied Health Human Performance Academic Unit	1	0.054
University Of South Australia Health Science Discipline	1	0.054
University Of South Carolina College Of Hospitality Retail And Sports Management	1	0.054
University Of South Carolina College Of Nursing	1	0.054
University Of South Carolina College Of Social Work	1	0.054
University Of South Carolina Department Of Exercise Science	1	0.054
University Of South Carolina Prevention Research Center	1	0.054
University Of South Carolina School Of Hotel Restaurant And Tourism Management	1	0.054
University Of South Florida College Of Behavioral And Community Sciences	1	0.054
University Of South Florida Department Of Criminology	1	0.054
University Of South Florida Morsani College Of Medicine	1	0.054
University Of Southampton Faculty Of Environmental And Life Sciences	1	0.054
University Of Southampton School Of Health Sciences	1	0.054
University Of Southern California Brain And Creativity Institute	1	0.054
University Of Southern California Department Of Political Science	1	0.054
University Of Southern California Department Of Psychology	1	0.054
University Of Southern California Gould School Of Law	1	0.054
University Of Southern California School Of International Relations	1	0.054
University Of St Andrews Scottish Oceans Institute	1	0.054
University Of Surrey Department Of Sociology	1	0.054
University Of Surrey Institute Of Education	1	0.054
University Of Surrey School Of Hospitality And Tourism Management	1	0.054
University Of Sussex Area Of Evolution Behaviour And Environment	1	0.054
University Of Sussex Department Of Mathematics	1	0.054
University Of Sussex School Of Global Studies	1	0.054
University Of Sussex School Of Life Sciences	1	0.054
University Of Sussex School Of Mathematical And Physical Sciences	1	0.054
University Of Szczecin Faculty Of Economics And Management	1	0.054
University Of Tampere Faculty Of Social Sciences	1	0.054
University Of Technology Sydney Faculty Of Arts And Social Sciences	1	0.054
University Of Technology Sydney Faculty Of Engineering And Information Technology	1	0.054
University Of Tehran Faculty Of Management	1	0.054
University Of Tehran Faculty Of New Sciences And Technologies	1	0.054
University Of Tehran Institute Of Biochemistry And Biophysics	1	0.054
University Of The Chinese Academy Of Sciences School Of Mathematical Sciences	1	0.054
University Of The Chinese Academy Of Sciences Sino Danish College	1	0.054
University Of The Ryukyus Faculty Of Agriculture Graduate School Of Agriculture	1	0.054
University Of Toronto Dalla Lana School Of Public Health	1	0.054
University Of Toronto Department Of Ecology Evolutionary Biology	1	0.054
University Of Toronto Department Of Mechanical And Industrial Engineering	1	0.054
University Of Toronto Faculty Of Applied Science Engineering	1	0.054
University Of Toronto School Of Cities	1	0.054
University Of Twente Department Of Public Administration	1	0.054
University Of Twente Faculty Of Behaviourial Management And Social Sciences	1	0.054
University Of Utah Health	1	0.054
University Of Vermont College Of Arts And Sciences	1	0.054
University Of Vermont Department Of Sociology	1	0.054
University Of Vermont Rubenstein School Of Environment And Natural Resources	1	0.054
University Of Vermont School Of Engineering	1	0.054
University Of Veterinary Medicine Vienna Department Of Interdisciplinary Life Sciences	1	0.054
University Of Victoria Department Of Sociology	1	0.054
University Of Victoria Faculty Of Social Sciences	1	0.054
University Of Victoria Peter B Gustavson School Of Business	1	0.054
University Of Vienna Department Of Communication	1	0.054
University Of Vienna Department Of Government	1	0.054
University Of Vienna Institute Of Political Science	1	0.054
University Of Warwick Centre For Interdisciplinary Methodologies	1	0.054
University Of Warwick Faculty Of Social Sciences	1	0.054
University Of Washington College Of Engineering	1	0.054
University Of Washington College Of The Environment	1	0.054
University Of Washington Department Of Electrical Computer Engineering	1	0.054
University Of Washington Department Of Epidemiology	1	0.054
University Of Washington Department Of Management And Organization	1	0.054
University Of Washington Evans School Of Public Policy Governance	1	0.054
University Of Washington Information School	1	0.054
University Of Washington Michael G Foster School Of Business	1	0.054
University Of Washington School Of Aquatic And Fishery Sciences	1	0.054
University Of Washington School Of Public Health	1	0.054
University Of Waterloo Department Of Biology	1	0.054
University Of Waterloo Department Of Sexuality Marriage And Family Studies	1	0.054
University Of Waterloo Faculty Of Environment	1	0.054
University Of Waterloo Faculty Of Science	1	0.054
University Of Waterloo School Of Planning	1	0.054
University Of Westminster College Of Design Creative And Digital Industries	1	0.054
University Of Wisconsin Madison Center For Demography And Ecology	1	0.054
University Of Wisconsin Madison College Of Agricultural And Life Sciences	1	0.054
University Of Wisconsin Madison Department Of Life Sciences Communication	1	0.054
University Of Wisconsin Madison Department Of Marketing	1	0.054
University Of Wisconsin Madison Department Of Mathematics	1	0.054
University Of Wisconsin Madison Department Of Sociology	1	0.054
University Of Wisconsin Madison Law School	1	0.054
University Of Wisconsin Madison School Of Business	1	0.054
University Of Wisconsin Madison School Of Medicine And Public Health	1	0.054
University Of Wisconsin Milwaukee College Of Letters And Science	1	0.054
University Of Wisconsin Milwaukee Department Of Sociology	1	0.054
University Of Wollongong Faculty Of Engineering And Information Sciences	1	0.054
University Of Wollongong National Institute For Applied Statistics Research Australia	1	0.054
University Of Wollongong School Of Mathematics And Applied Statistics	1	0.054
University Of York Department Of Computer Science	1	0.054
University Of York Department Of Mathematics	1	0.054
University Of York Department Of Social Policy And Social Work	1	0.054
University Of Zagreb Faculty Of Electrical Engineering And Computing	1	0.054
University Of Zaragoza Department Of Condensed Matter Physics	1	0.054
University Of Zurich Department Of Business Administration	1	0.054
University Of Zurich Department Of Communication And Media Research	1	0.054
University Of Zurich Department Of Political Science	1	0.054
University Of Zurich Faculty Of Economics Business Administration And Information Technology	1	0.054
University Putra Malaysia Faculty Of Modern Languages And Communication	1	0.054
University South Florida Hospital	1	0.054
Utah State University College Of Humanities Social Sciences	1	0.054
Utah State University Department Of Sociology Social Work And Anthropology	1	0.054
Utrecht University Department Of Earth Sciences	1	0.054
Utrecht University Department Of Economics	1	0.054
Utrecht University Department Of Physics And Astronomy	1	0.054
Utrecht University Faculty Of Law Economics And Governance	1	0.054
Utrecht University Faculty Of Science	1	0.054
Utrecht University Institut For Theoretical Physics	1	0.054
Vanderbilt University College Of Arts And Science	1	0.054
Vanderbilt University Curb Center For Art Enterprise And Public Policy	1	0.054
Vanderbilt University Department Of Psychology And Human Development	1	0.054
Vanderbilt University Department Of Sociology	1	0.054
Vanderbilt University Peabody College	1	0.054
Victoria University College Of Arts Education	1	0.054
Victoria University Of Wellington Faculty Of Education	1	0.054
Victoria University Of Wellington School Of Government	1	0.054
Victoria University Of Wellington School Of Information Management	1	0.054
Victoria University Of Wellington School Of Marketing And International Business	1	0.054
Virginia Commonwealth University College Of Humanities And Sciences	1	0.054
Virginia Commonwealth University Department Of Mathematics And Applied Mathematics	1	0.054
Virginia Polytechnic Institute And State University College Of Natural Resources	1	0.054
Virginia Polytechnic Institute And State University College Of Science	1	0.054
Virginia Polytechnic Institute And State University Department Of Fish And Wildlife Conservation	1	0.054
Virginia Polytechnic Institute And State University Department Of Industrial And Systems Engineering	1	0.054
Virginia Polytechnic Institute And State University Department Of Statistics	1	0.054
Virginia Polytechnic Institute And State University The Charles E Via Jr Department Of Civil Environmental Engineering	1	0.054
Vit Business School	1	0.054
Vit University School Of Information Technology And Engineering	1	0.054
Vu Amsterdam Athena Institute	1	0.054
Vu Amsterdam Department Of Clinical Neuro And Developmental Psychology	1	0.054
Vu Amsterdam Department Of Psychology	1	0.054
Vu Amsterdam Department Of Sociology	1	0.054
Vu Amsterdam Faculty Of Sciences	1	0.054
Vu Amsterdam Faculty Of Social Sciences	1	0.054
Vu Amsterdam School Of Business And Economics	1	0.054
W A Franke Honors College	1	0.054
Warsaw University Of Technology Faculty Of Physics	1	0.054
Waseda University Faculty Of Science And Engineering	1	0.054
Waseda University Graduate School Of Information Production And Systems	1	0.054
Washington State University Department Of Anthropology	1	0.054
Washington University In St Louis Center For Public Health Systems Science	1	0.054
Washington University In St Louis Department Of Neurology	1	0.054
Washington University In St Louis Olin Business School	1	0.054
Washington University In St Louis Program In Physical Therapy	1	0.054
Washington University In St Louis School Of Medicine	1	0.054
Weizmann Institute Of Science Department Of Physics Of Complex Systems	1	0.054
Weizmann Institute Of Science Faculty Of Physics	1	0.054
West Texas A M University Paul And Virginia Engler College Of Business	1	0.054
Western University Department Of Sociology	1	0.054
Western University Faculty Of Information And Media Studies	1	0.054
Western University Faculty Of Law	1	0.054
Western University Faculty Of Social Science	1	0.054
Western University Ivey Business School	1	0.054
Wroclaw University Of Technology Faculty Of Computer Science And Management	1	0.054
Wuhan University Economics And Management School	1	0.054
Wuhan University Faculty Of Engineering	1	0.054
Wuhan University Faculty Of Information Sciences	1	0.054
Wuhan University Faculty Of Social Sciences	1	0.054
Wuhan University Of Science And Technology School Of Management	1	0.054
Wuhan University Of Technology Department Of Economics	1	0.054
Wuhan University School Of Cyber Science And Engineering	1	0.054
Wuhan University School Of Electrical Engineering And Automation	1	0.054
Xi An Shiyou University School Of Science	1	0.054
Xi An University Of Finance And Economics School Of Business	1	0.054
Xiamen University School Of Economics	1	0.054
Xiamen University Wang Yanan Institute For Studies In Economics	1	0.054
Xiangtan University Business School	1	0.054
Xidian University School Of Telecommunications Engineering	1	0.054
Yale Law School	1	0.054
Yale University Center For Research On Inequalities And The Life Course	1	0.054
Yale University Department Of Biostatistics	1	0.054
Yale University Department Of Mathematics	1	0.054
Yale University Institution For Social And Policy Studies	1	0.054
Yokohama National University Graduate School Of Engineering	1	0.054
Yong Loo Lin School Medical Nus	1	0.054
Yonsei University College Of Engineering	1	0.054
Yonsei University College Of Medicine	1	0.054
Yonsei University College Of Nursing	1	0.054
Yonsei University Department Of Industrial Engineering	1	0.054
Yonsei University Health System	1	0.054
Yonsei University Mo Im Kim Nursing Research Institute	1	0.054
Yonsei University School Of Business	1	0.054
Yonsei University Wonju College Of Medicine	1	0.054
Yonsei University Wonju College Of Medicine Department Of Nursing	1	0.054
Zhejiang A And F University College Of Economics And Management	1	0.054
Zhejiang University Of Technology College Of Computer Science And Technology	1	0.054
723 record(s) (38.829%) do not contain data in the field being analyzed
